
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 0: loss 6.1551 BPC, time 65940.03ms, mfu -100.00%
iter 10: loss 4.6810 BPC, time 52.57ms, mfu 7.09%
iter 20: loss 4.0271 BPC, time 52.20ms, mfu 7.09%
iter 30: loss 3.8057 BPC, time 53.18ms, mfu 7.08%
iter 40: loss 3.7156 BPC, time 52.61ms, mfu 7.08%
iter 50: loss 3.6449 BPC, time 52.55ms, mfu 7.09%
iter 60: loss 3.6261 BPC, time 52.39ms, mfu 7.09%
iter 70: loss 3.5985 BPC, time 52.59ms, mfu 7.09%
iter 80: loss 3.6030 BPC, time 52.40ms, mfu 7.09%
iter 90: loss 3.5628 BPC, time 52.53ms, mfu 7.09%
iter 100: loss 3.5526 BPC, time 53.19ms, mfu 7.08%
iter 110: loss 3.5406 BPC, time 53.05ms, mfu 7.08%
iter 120: loss 3.4965 BPC, time 52.41ms, mfu 7.08%
iter 130: loss 3.4893 BPC, time 53.22ms, mfu 7.07%
iter 140: loss 3.4632 BPC, time 53.16ms, mfu 7.07%
iter 150: loss 3.4829 BPC, time 53.29ms, mfu 7.06%
iter 160: loss 3.4203 BPC, time 53.06ms, mfu 7.05%
iter 170: loss 3.4259 BPC, time 53.13ms, mfu 7.05%
iter 180: loss 3.3453 BPC, time 53.10ms, mfu 7.05%
iter 190: loss 3.2786 BPC, time 52.75ms, mfu 7.05%
iter 200: loss 3.2100 BPC, time 52.40ms, mfu 7.05%
iter 210: loss 3.1071 BPC, time 52.32ms, mfu 7.06%
iter 220: loss 3.0893 BPC, time 52.49ms, mfu 7.07%
iter 230: loss 3.0063 BPC, time 53.15ms, mfu 7.06%
iter 240: loss 3.0012 BPC, time 53.53ms, mfu 7.05%
step 250: train loss 2.8548 BPC, val loss 2.9973 BPC
saving checkpoint to out-shakespeare-char
iter 250: loss 2.9519 BPC, time 7668.72ms, mfu 6.35%
iter 260: loss 2.8560 BPC, time 53.25ms, mfu 6.41%
iter 270: loss 2.8588 BPC, time 54.21ms, mfu 6.46%
iter 280: loss 2.8617 BPC, time 54.31ms, mfu 6.50%
iter 290: loss 2.7775 BPC, time 53.89ms, mfu 6.54%
iter 300: loss 2.7343 BPC, time 53.41ms, mfu 6.59%
iter 310: loss 2.7070 BPC, time 54.76ms, mfu 6.61%
iter 320: loss 2.6776 BPC, time 53.34ms, mfu 6.65%
iter 330: loss 2.6374 BPC, time 53.28ms, mfu 6.68%
iter 340: loss 2.5718 BPC, time 54.55ms, mfu 6.70%
iter 350: loss 2.6490 BPC, time 53.93ms, mfu 6.72%
iter 360: loss 2.5556 BPC, time 55.69ms, mfu 6.71%
iter 370: loss 2.5109 BPC, time 55.22ms, mfu 6.72%
iter 380: loss 2.4936 BPC, time 54.20ms, mfu 6.73%
iter 390: loss 2.4952 BPC, time 48.64ms, mfu 6.83%
iter 400: loss 2.5548 BPC, time 56.18ms, mfu 6.81%
iter 410: loss 2.4367 BPC, time 55.28ms, mfu 6.80%
iter 420: loss 2.4744 BPC, time 66.78ms, mfu 6.68%
iter 430: loss 2.4325 BPC, time 56.55ms, mfu 6.67%
iter 440: loss 2.3944 BPC, time 57.45ms, mfu 6.65%
iter 450: loss 2.3836 BPC, time 56.23ms, mfu 6.65%
iter 460: loss 2.3035 BPC, time 55.76ms, mfu 6.65%
iter 470: loss 2.3949 BPC, time 56.78ms, mfu 6.64%
iter 480: loss 2.3326 BPC, time 57.45ms, mfu 6.63%
iter 490: loss 2.3015 BPC, time 57.28ms, mfu 6.62%
step 500: train loss 2.2037 BPC, val loss 2.4907 BPC
saving checkpoint to out-shakespeare-char
iter 500: loss 2.2995 BPC, time 7945.96ms, mfu 5.96%
iter 510: loss 2.3208 BPC, time 55.18ms, mfu 6.04%
iter 520: loss 2.2897 BPC, time 59.28ms, mfu 6.06%
iter 530: loss 2.2477 BPC, time 58.81ms, mfu 6.09%
iter 540: loss 2.3363 BPC, time 58.27ms, mfu 6.12%
iter 550: loss 2.2651 BPC, time 59.59ms, mfu 6.13%
iter 560: loss 2.2789 BPC, time 58.46ms, mfu 6.16%
iter 570: loss 2.2556 BPC, time 58.20ms, mfu 6.18%
iter 580: loss 2.2070 BPC, time 57.66ms, mfu 6.21%
iter 590: loss 2.1640 BPC, time 59.71ms, mfu 6.21%
iter 600: loss 2.1877 BPC, time 58.15ms, mfu 6.23%
iter 610: loss 2.2334 BPC, time 61.46ms, mfu 6.22%
iter 620: loss 2.2085 BPC, time 60.16ms, mfu 6.21%
iter 630: loss 2.1703 BPC, time 59.97ms, mfu 6.21%
iter 640: loss 2.0996 BPC, time 61.15ms, mfu 6.20%
iter 650: loss 2.1621 BPC, time 59.66ms, mfu 6.21%
iter 660: loss 2.1703 BPC, time 60.26ms, mfu 6.20%
iter 670: loss 2.0932 BPC, time 61.71ms, mfu 6.19%
iter 680: loss 2.1817 BPC, time 60.90ms, mfu 6.18%
iter 690: loss 2.0923 BPC, time 61.41ms, mfu 6.17%
iter 700: loss 2.1416 BPC, time 62.09ms, mfu 6.15%
iter 710: loss 2.0989 BPC, time 62.03ms, mfu 6.14%
iter 720: loss 2.0840 BPC, time 61.61ms, mfu 6.13%
iter 730: loss 2.0485 BPC, time 61.30ms, mfu 6.12%
iter 740: loss 2.0649 BPC, time 61.89ms, mfu 6.11%
step 750: train loss 1.9656 BPC, val loss 2.2939 BPC
saving checkpoint to out-shakespeare-char
iter 750: loss 2.0604 BPC, time 8194.56ms, mfu 5.51%
iter 760: loss 2.0833 BPC, time 61.88ms, mfu 5.56%
iter 770: loss 2.0550 BPC, time 60.88ms, mfu 5.61%
iter 780: loss 2.0486 BPC, time 61.99ms, mfu 5.65%
iter 790: loss 2.0535 BPC, time 62.32ms, mfu 5.69%
iter 800: loss 2.0721 BPC, time 62.37ms, mfu 5.72%
iter 810: loss 2.0184 BPC, time 62.90ms, mfu 5.74%
iter 820: loss 2.0263 BPC, time 61.16ms, mfu 5.77%
iter 830: loss 1.9995 BPC, time 63.57ms, mfu 5.78%
iter 840: loss 2.0143 BPC, time 62.16ms, mfu 5.80%
iter 850: loss 2.0060 BPC, time 62.33ms, mfu 5.82%
iter 860: loss 2.0180 BPC, time 61.89ms, mfu 5.84%
iter 870: loss 2.0168 BPC, time 63.32ms, mfu 5.84%
iter 880: loss 1.9766 BPC, time 61.58ms, mfu 5.87%
iter 890: loss 2.0007 BPC, time 63.46ms, mfu 5.87%
iter 900: loss 1.9729 BPC, time 61.26ms, mfu 5.89%
iter 910: loss 1.9072 BPC, time 61.61ms, mfu 5.90%
iter 920: loss 1.9728 BPC, time 60.90ms, mfu 5.93%
iter 930: loss 1.9555 BPC, time 61.57ms, mfu 5.94%
iter 940: loss 1.9405 BPC, time 61.07ms, mfu 5.95%
iter 950: loss 1.9520 BPC, time 61.69ms, mfu 5.96%
iter 960: loss 1.9588 BPC, time 62.32ms, mfu 5.96%
iter 970: loss 1.9562 BPC, time 62.91ms, mfu 5.96%
iter 980: loss 1.9539 BPC, time 64.13ms, mfu 5.95%
iter 990: loss 1.9262 BPC, time 61.86ms, mfu 5.95%
step 1000: train loss 1.8285 BPC, val loss 2.1892 BPC
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.9222 BPC, time 8369.26ms, mfu 5.36%
iter 1010: loss 1.9339 BPC, time 65.30ms, mfu 5.40%
iter 1020: loss 1.8923 BPC, time 64.34ms, mfu 5.44%
iter 1030: loss 1.9235 BPC, time 63.51ms, mfu 5.48%
iter 1040: loss 1.9552 BPC, time 64.03ms, mfu 5.51%
iter 1050: loss 1.8705 BPC, time 61.63ms, mfu 5.57%
iter 1060: loss 1.9392 BPC, time 66.07ms, mfu 5.57%
iter 1070: loss 1.9311 BPC, time 60.42ms, mfu 5.63%
iter 1080: loss 1.9211 BPC, time 64.96ms, mfu 5.64%
iter 1090: loss 1.9439 BPC, time 65.06ms, mfu 5.65%
iter 1100: loss 1.9075 BPC, time 62.52ms, mfu 5.68%
iter 1110: loss 1.8723 BPC, time 65.04ms, mfu 5.69%
iter 1120: loss 1.8593 BPC, time 65.80ms, mfu 5.69%
iter 1130: loss 1.8684 BPC, time 66.14ms, mfu 5.68%
iter 1140: loss 1.8735 BPC, time 65.97ms, mfu 5.68%
iter 1150: loss 1.8801 BPC, time 64.77ms, mfu 5.68%
iter 1160: loss 1.9170 BPC, time 66.59ms, mfu 5.68%
iter 1170: loss 1.8709 BPC, time 61.92ms, mfu 5.71%
iter 1180: loss 1.9045 BPC, time 64.17ms, mfu 5.72%
iter 1190: loss 1.8328 BPC, time 66.71ms, mfu 5.71%
iter 1200: loss 1.8575 BPC, time 66.02ms, mfu 5.70%
iter 1210: loss 1.8234 BPC, time 63.63ms, mfu 5.72%
iter 1220: loss 1.8812 BPC, time 65.81ms, mfu 5.71%
iter 1230: loss 1.8784 BPC, time 65.71ms, mfu 5.71%
iter 1240: loss 1.8645 BPC, time 65.74ms, mfu 5.70%
step 1250: train loss 1.7331 BPC, val loss 2.1508 BPC
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.8398 BPC, time 8788.59ms, mfu 5.14%
iter 1260: loss 1.8506 BPC, time 63.54ms, mfu 5.21%
iter 1270: loss 1.8184 BPC, time 66.73ms, mfu 5.25%
iter 1280: loss 1.8133 BPC, time 64.36ms, mfu 5.30%
iter 1290: loss 1.8445 BPC, time 66.65ms, mfu 5.33%
iter 1300: loss 1.8751 BPC, time 61.17ms, mfu 5.41%
iter 1310: loss 1.7742 BPC, time 66.51ms, mfu 5.43%
iter 1320: loss 1.8819 BPC, time 65.60ms, mfu 5.45%
iter 1330: loss 1.8192 BPC, time 62.08ms, mfu 5.51%
iter 1340: loss 1.8731 BPC, time 66.12ms, mfu 5.52%
iter 1350: loss 1.8086 BPC, time 61.88ms, mfu 5.57%
iter 1360: loss 1.8331 BPC, time 65.34ms, mfu 5.58%
iter 1370: loss 1.8090 BPC, time 65.08ms, mfu 5.60%
iter 1380: loss 1.8242 BPC, time 65.50ms, mfu 5.61%
iter 1390: loss 1.7919 BPC, time 65.72ms, mfu 5.61%
iter 1400: loss 1.8130 BPC, time 66.40ms, mfu 5.61%
iter 1410: loss 1.8017 BPC, time 63.41ms, mfu 5.64%
iter 1420: loss 1.8284 BPC, time 64.45ms, mfu 5.65%
iter 1430: loss 1.7919 BPC, time 66.76ms, mfu 5.65%
iter 1440: loss 1.8054 BPC, time 64.38ms, mfu 5.66%
iter 1450: loss 1.7732 BPC, time 66.25ms, mfu 5.66%
iter 1460: loss 1.7971 BPC, time 65.18ms, mfu 5.66%
iter 1470: loss 1.7672 BPC, time 62.23ms, mfu 5.70%
iter 1480: loss 1.7478 BPC, time 66.09ms, mfu 5.69%
iter 1490: loss 1.7841 BPC, time 66.62ms, mfu 5.68%
step 1500: train loss 1.6567 BPC, val loss 2.1185 BPC
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.7092 BPC, time 8607.62ms, mfu 5.12%
iter 1510: loss 1.7836 BPC, time 65.80ms, mfu 5.17%
iter 1520: loss 1.7666 BPC, time 65.74ms, mfu 5.22%
iter 1530: loss 1.8133 BPC, time 66.66ms, mfu 5.26%
iter 1540: loss 1.7193 BPC, time 66.46ms, mfu 5.29%
iter 1550: loss 1.7719 BPC, time 66.13ms, mfu 5.33%
iter 1560: loss 1.7404 BPC, time 65.17ms, mfu 5.37%
iter 1570: loss 1.7836 BPC, time 64.54ms, mfu 5.41%
iter 1580: loss 1.7274 BPC, time 66.64ms, mfu 5.43%
iter 1590: loss 1.7074 BPC, time 65.71ms, mfu 5.45%
iter 1600: loss 1.7296 BPC, time 66.23ms, mfu 5.47%
iter 1610: loss 1.7801 BPC, time 65.71ms, mfu 5.49%
iter 1620: loss 1.7066 BPC, time 63.95ms, mfu 5.52%
iter 1630: loss 1.7358 BPC, time 67.07ms, mfu 5.52%
iter 1640: loss 1.7318 BPC, time 65.58ms, mfu 5.54%
iter 1650: loss 1.6997 BPC, time 65.55ms, mfu 5.56%
iter 1660: loss 1.7520 BPC, time 66.19ms, mfu 5.56%
iter 1670: loss 1.7177 BPC, time 64.45ms, mfu 5.58%
iter 1680: loss 1.7319 BPC, time 66.25ms, mfu 5.59%
iter 1690: loss 1.7276 BPC, time 62.37ms, mfu 5.63%
iter 1700: loss 1.7008 BPC, time 65.85ms, mfu 5.63%
iter 1710: loss 1.7043 BPC, time 64.65ms, mfu 5.64%
iter 1720: loss 1.7115 BPC, time 65.66ms, mfu 5.65%
iter 1730: loss 1.7371 BPC, time 64.25ms, mfu 5.66%
iter 1740: loss 1.6895 BPC, time 65.17ms, mfu 5.67%
step 1750: train loss 1.5877 BPC, val loss 2.1041 BPC
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.7121 BPC, time 8832.36ms, mfu 5.10%
iter 1760: loss 1.7076 BPC, time 65.85ms, mfu 5.16%
iter 1770: loss 1.7309 BPC, time 63.91ms, mfu 5.23%
iter 1780: loss 1.7123 BPC, time 61.39ms, mfu 5.31%
iter 1790: loss 1.7206 BPC, time 65.82ms, mfu 5.35%
