
step 0: train loss 6.0601 BPC, val loss 6.0586 BPC
iter 0: loss 6.0659 BPC, time 254533.85ms, mfu -100.00%
iter 10: loss 4.5735 BPC, time 267.36ms, mfu 8.92%
iter 20: loss 3.9673 BPC, time 261.53ms, mfu 8.94%
iter 30: loss 3.7429 BPC, time 267.06ms, mfu 8.94%
iter 40: loss 3.6331 BPC, time 267.30ms, mfu 8.93%
iter 50: loss 3.5943 BPC, time 263.33ms, mfu 8.95%
iter 60: loss 3.5707 BPC, time 268.26ms, mfu 8.94%
iter 70: loss 3.5530 BPC, time 269.41ms, mfu 8.93%
iter 80: loss 3.5447 BPC, time 270.79ms, mfu 8.92%
iter 90: loss 3.5454 BPC, time 273.15ms, mfu 8.90%
iter 100: loss 3.5623 BPC, time 273.84ms, mfu 8.88%
iter 110: loss 3.5029 BPC, time 266.53ms, mfu 8.89%
iter 120: loss 3.4724 BPC, time 267.16ms, mfu 8.89%
iter 130: loss 3.4152 BPC, time 270.26ms, mfu 8.88%
iter 140: loss 3.3823 BPC, time 270.90ms, mfu 8.88%
iter 150: loss 3.3638 BPC, time 270.89ms, mfu 8.87%
iter 160: loss 3.3108 BPC, time 268.64ms, mfu 8.87%
iter 170: loss 3.2110 BPC, time 266.68ms, mfu 8.88%
iter 180: loss 3.1601 BPC, time 273.78ms, mfu 8.86%
iter 190: loss 3.0142 BPC, time 277.84ms, mfu 8.83%
iter 200: loss 2.9342 BPC, time 272.51ms, mfu 8.82%
iter 210: loss 2.8730 BPC, time 273.38ms, mfu 8.81%
iter 220: loss 2.8095 BPC, time 272.35ms, mfu 8.81%
iter 230: loss 2.7502 BPC, time 271.45ms, mfu 8.80%
iter 240: loss 2.6963 BPC, time 275.80ms, mfu 8.79%
step 250: train loss 2.5833 BPC, val loss 2.7931 BPC
saving checkpoint to out-shakespeare-char
iter 250: loss 2.6590 BPC, time 35128.44ms, mfu 7.92%
iter 260: loss 2.6054 BPC, time 291.36ms, mfu 7.94%
iter 270: loss 2.6139 BPC, time 300.23ms, mfu 7.94%
iter 280: loss 2.5584 BPC, time 293.07ms, mfu 7.96%
iter 290: loss 2.5282 BPC, time 309.23ms, mfu 7.94%
iter 300: loss 2.4582 BPC, time 313.17ms, mfu 7.90%
iter 310: loss 2.4188 BPC, time 313.88ms, mfu 7.87%
iter 320: loss 2.4405 BPC, time 322.10ms, mfu 7.83%
iter 330: loss 2.4051 BPC, time 311.89ms, mfu 7.81%
iter 340: loss 2.4043 BPC, time 284.06ms, mfu 7.87%
iter 350: loss 2.4094 BPC, time 287.45ms, mfu 7.91%
iter 360: loss 2.3151 BPC, time 293.60ms, mfu 7.93%
iter 370: loss 2.2823 BPC, time 315.17ms, mfu 7.89%
iter 380: loss 2.2825 BPC, time 298.66ms, mfu 7.90%
iter 390: loss 2.2703 BPC, time 318.82ms, mfu 7.86%
iter 400: loss 2.2529 BPC, time 319.03ms, mfu 7.82%
iter 410: loss 2.2527 BPC, time 317.58ms, mfu 7.79%
iter 420: loss 2.2388 BPC, time 325.91ms, mfu 7.74%
iter 430: loss 2.2393 BPC, time 312.96ms, mfu 7.73%
iter 440: loss 2.2695 BPC, time 322.22ms, mfu 7.70%
iter 450: loss 2.1677 BPC, time 295.27ms, mfu 7.73%
iter 460: loss 2.2162 BPC, time 319.91ms, mfu 7.71%
iter 470: loss 2.1682 BPC, time 328.50ms, mfu 7.66%
iter 480: loss 2.1570 BPC, time 323.77ms, mfu 7.63%
iter 490: loss 2.1263 BPC, time 290.72ms, mfu 7.69%
step 500: train loss 2.0607 BPC, val loss 2.3486 BPC
saving checkpoint to out-shakespeare-char
iter 500: loss 2.1195 BPC, time 38199.68ms, mfu 6.93%
iter 510: loss 2.1406 BPC, time 315.53ms, mfu 6.99%
iter 520: loss 2.1071 BPC, time 325.98ms, mfu 7.02%
iter 530: loss 2.0595 BPC, time 317.54ms, mfu 7.07%
iter 540: loss 2.0565 BPC, time 320.92ms, mfu 7.11%
iter 550: loss 2.1017 BPC, time 309.13ms, mfu 7.17%
iter 560: loss 2.0868 BPC, time 325.37ms, mfu 7.18%
iter 570: loss 2.0236 BPC, time 312.83ms, mfu 7.23%
iter 580: loss 2.1101 BPC, time 314.93ms, mfu 7.26%
iter 590: loss 2.0244 BPC, time 324.33ms, mfu 7.27%
iter 600: loss 2.0293 BPC, time 291.06ms, mfu 7.36%
iter 610: loss 1.9936 BPC, time 322.09ms, mfu 7.37%
iter 620: loss 1.9727 BPC, time 308.44ms, mfu 7.40%
iter 630: loss 1.9964 BPC, time 324.35ms, mfu 7.40%
iter 640: loss 1.9870 BPC, time 291.20ms, mfu 7.48%
iter 650: loss 1.9781 BPC, time 323.03ms, mfu 7.47%
iter 660: loss 1.9413 BPC, time 312.39ms, mfu 7.48%
iter 670: loss 1.9454 BPC, time 330.19ms, mfu 7.46%
iter 680: loss 1.9560 BPC, time 332.80ms, mfu 7.43%
iter 690: loss 1.9731 BPC, time 329.97ms, mfu 7.41%
iter 700: loss 1.9676 BPC, time 328.03ms, mfu 7.39%
iter 710: loss 1.9409 BPC, time 322.00ms, mfu 7.39%
iter 720: loss 1.9571 BPC, time 327.55ms, mfu 7.38%
iter 730: loss 1.9377 BPC, time 313.61ms, mfu 7.40%
iter 740: loss 1.9157 BPC, time 309.05ms, mfu 7.44%
step 750: train loss 1.8577 BPC, val loss 2.2196 BPC
saving checkpoint to out-shakespeare-char
iter 750: loss 1.9404 BPC, time 38338.43ms, mfu 6.70%
iter 760: loss 1.8724 BPC, time 323.70ms, mfu 6.76%
iter 770: loss 1.9052 BPC, time 326.61ms, mfu 6.82%
iter 780: loss 1.8858 BPC, time 321.74ms, mfu 6.88%
iter 790: loss 1.8873 BPC, time 299.54ms, mfu 6.99%
