
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 0: loss 6.1551 BPC, time 61960.38ms, mfu -100.00%
iter 10: loss 4.6810 BPC, time 45.66ms, mfu 8.16%
iter 20: loss 4.0271 BPC, time 45.65ms, mfu 8.16%
iter 30: loss 3.8057 BPC, time 45.52ms, mfu 8.16%
iter 40: loss 3.7156 BPC, time 45.84ms, mfu 8.16%
iter 50: loss 3.6449 BPC, time 45.60ms, mfu 8.16%
iter 60: loss 3.6261 BPC, time 45.70ms, mfu 8.16%
iter 70: loss 3.5985 BPC, time 45.80ms, mfu 8.16%
iter 80: loss 3.6028 BPC, time 45.61ms, mfu 8.16%
iter 90: loss 3.5627 BPC, time 45.79ms, mfu 8.16%
iter 100: loss 3.5537 BPC, time 45.88ms, mfu 8.15%
iter 110: loss 3.5403 BPC, time 45.74ms, mfu 8.15%
iter 120: loss 3.4962 BPC, time 45.73ms, mfu 8.15%
iter 130: loss 3.4904 BPC, time 46.06ms, mfu 8.15%
iter 140: loss 3.4621 BPC, time 45.78ms, mfu 8.15%
iter 150: loss 3.4828 BPC, time 45.69ms, mfu 8.15%
iter 160: loss 3.4222 BPC, time 45.92ms, mfu 8.14%
iter 170: loss 3.3979 BPC, time 45.97ms, mfu 8.14%
iter 180: loss 3.3482 BPC, time 45.94ms, mfu 8.14%
iter 190: loss 3.2676 BPC, time 45.76ms, mfu 8.14%
iter 200: loss 3.1951 BPC, time 45.88ms, mfu 8.14%
iter 210: loss 3.1001 BPC, time 46.11ms, mfu 8.13%
iter 220: loss 3.1028 BPC, time 45.92ms, mfu 8.13%
iter 230: loss 3.0087 BPC, time 45.89ms, mfu 8.13%
iter 240: loss 3.0000 BPC, time 45.87ms, mfu 8.13%
step 250: train loss 2.8511 BPC, val loss 2.9995 BPC
saving checkpoint to out-shakespeare-char
iter 250: loss 2.9479 BPC, time 7347.89ms, mfu 7.32%
iter 260: loss 2.8503 BPC, time 46.29ms, mfu 7.39%
iter 270: loss 2.8530 BPC, time 45.78ms, mfu 7.47%
iter 280: loss 2.8563 BPC, time 46.34ms, mfu 7.52%
iter 290: loss 2.7785 BPC, time 46.11ms, mfu 7.58%
