
step 0: train loss 12.5201 BPC, val loss 12.5218 BPC
iter 0: loss 12.5435 BPC, time 242620.93ms, mfu -100.00%
iter 10: loss 10.0507 BPC, time 263.86ms, mfu 9.31%
iter 20: loss 8.6901 BPC, time 263.69ms, mfu 9.31%
iter 30: loss 6.3877 BPC, time 265.37ms, mfu 9.31%
iter 40: loss 4.8689 BPC, time 265.62ms, mfu 9.30%
iter 50: loss 4.2239 BPC, time 267.25ms, mfu 9.29%
iter 60: loss 4.0162 BPC, time 265.77ms, mfu 9.28%
iter 70: loss 3.8460 BPC, time 266.66ms, mfu 9.28%
iter 80: loss 3.8847 BPC, time 267.10ms, mfu 9.27%
iter 90: loss 3.7959 BPC, time 266.72ms, mfu 9.26%
iter 100: loss 3.7670 BPC, time 267.24ms, mfu 9.26%
iter 110: loss 3.6920 BPC, time 267.53ms, mfu 9.25%
iter 120: loss 3.5967 BPC, time 267.47ms, mfu 9.24%
iter 130: loss 3.6325 BPC, time 268.29ms, mfu 9.23%
iter 140: loss 3.6246 BPC, time 269.13ms, mfu 9.22%
iter 150: loss 3.6344 BPC, time 268.43ms, mfu 9.22%
iter 160: loss 3.5347 BPC, time 268.05ms, mfu 9.21%
iter 170: loss 3.5187 BPC, time 269.14ms, mfu 9.20%
iter 180: loss 3.5590 BPC, time 269.44ms, mfu 9.19%
iter 190: loss 3.4384 BPC, time 270.83ms, mfu 9.18%
iter 200: loss 3.3873 BPC, time 269.53ms, mfu 9.18%
iter 210: loss 3.4295 BPC, time 270.42ms, mfu 9.17%
iter 220: loss 3.3468 BPC, time 271.37ms, mfu 9.15%
iter 230: loss 3.2988 BPC, time 270.54ms, mfu 9.15%
iter 240: loss 3.3074 BPC, time 270.80ms, mfu 9.14%
step 250: train loss 3.1345 BPC, val loss 3.1441 BPC
saving checkpoint to out-enwik-char
iter 250: loss 3.1895 BPC, time 32924.41ms, mfu 8.23%
iter 260: loss 3.1504 BPC, time 273.65ms, mfu 8.31%
iter 270: loss 3.1171 BPC, time 273.71ms, mfu 8.37%
iter 280: loss 3.1056 BPC, time 274.68ms, mfu 8.43%
iter 290: loss 3.0663 BPC, time 274.77ms, mfu 8.48%
iter 300: loss 3.0206 BPC, time 275.67ms, mfu 8.53%
iter 310: loss 2.9582 BPC, time 275.40ms, mfu 8.56%
iter 320: loss 2.9690 BPC, time 275.66ms, mfu 8.60%
iter 330: loss 2.9140 BPC, time 277.49ms, mfu 8.62%
iter 340: loss 2.8479 BPC, time 275.88ms, mfu 8.65%
iter 350: loss 2.8865 BPC, time 276.33ms, mfu 8.68%
iter 360: loss 2.8558 BPC, time 276.13ms, mfu 8.70%
iter 370: loss 2.8382 BPC, time 276.02ms, mfu 8.72%
iter 380: loss 2.8381 BPC, time 276.82ms, mfu 8.73%
iter 390: loss 2.7997 BPC, time 277.56ms, mfu 8.75%
iter 400: loss 2.8711 BPC, time 276.65ms, mfu 8.76%
iter 410: loss 2.6723 BPC, time 276.94ms, mfu 8.77%
iter 420: loss 2.7421 BPC, time 277.09ms, mfu 8.78%
iter 430: loss 2.6581 BPC, time 277.93ms, mfu 8.79%
iter 440: loss 2.7104 BPC, time 278.82ms, mfu 8.79%
iter 450: loss 2.7206 BPC, time 278.84ms, mfu 8.79%
iter 460: loss 2.5714 BPC, time 278.49ms, mfu 8.79%
iter 470: loss 2.7515 BPC, time 278.84ms, mfu 8.80%
iter 480: loss 2.6322 BPC, time 278.96ms, mfu 8.80%
iter 490: loss 2.5799 BPC, time 278.87ms, mfu 8.80%
step 500: train loss 2.5041 BPC, val loss 2.5112 BPC
saving checkpoint to out-enwik-char
iter 500: loss 2.5452 BPC, time 33664.19ms, mfu 7.93%
iter 510: loss 2.5032 BPC, time 281.67ms, mfu 8.00%
iter 520: loss 2.6276 BPC, time 281.86ms, mfu 8.08%
iter 530: loss 2.6297 BPC, time 282.77ms, mfu 8.14%
iter 540: loss 2.5142 BPC, time 284.13ms, mfu 8.19%
iter 550: loss 2.6078 BPC, time 286.38ms, mfu 8.23%
iter 560: loss 2.5285 BPC, time 287.28ms, mfu 8.26%
iter 570: loss 2.5086 BPC, time 287.29ms, mfu 8.29%
iter 580: loss 2.5686 BPC, time 284.54ms, mfu 8.32%
iter 590: loss 2.5770 BPC, time 285.74ms, mfu 8.35%
iter 600: loss 2.4407 BPC, time 289.01ms, mfu 8.37%
iter 610: loss 2.3648 BPC, time 284.32ms, mfu 8.39%
iter 620: loss 2.4100 BPC, time 283.43ms, mfu 8.42%
iter 630: loss 2.4352 BPC, time 288.38ms, mfu 8.43%
iter 640: loss 2.4323 BPC, time 294.93ms, mfu 8.42%
iter 650: loss 2.3953 BPC, time 295.96ms, mfu 8.41%
iter 660: loss 2.4890 BPC, time 286.80ms, mfu 8.42%
iter 670: loss 2.4033 BPC, time 289.45ms, mfu 8.43%
iter 680: loss 2.4444 BPC, time 303.29ms, mfu 8.40%
iter 690: loss 2.3440 BPC, time 296.40ms, mfu 8.39%
iter 700: loss 2.4296 BPC, time 301.87ms, mfu 8.36%
iter 710: loss 2.5194 BPC, time 292.32ms, mfu 8.37%
iter 720: loss 2.3661 BPC, time 293.35ms, mfu 8.37%
iter 730: loss 2.3547 BPC, time 308.07ms, mfu 8.33%
iter 740: loss 2.4425 BPC, time 307.29ms, mfu 8.29%
step 750: train loss 2.2259 BPC, val loss 2.2498 BPC
saving checkpoint to out-enwik-char
iter 750: loss 2.2526 BPC, time 37403.66ms, mfu 7.47%
iter 760: loss 2.3503 BPC, time 290.40ms, mfu 7.57%
iter 770: loss 2.3128 BPC, time 304.48ms, mfu 7.62%
iter 780: loss 2.2351 BPC, time 308.76ms, mfu 7.65%
iter 790: loss 2.3203 BPC, time 304.04ms, mfu 7.70%
iter 800: loss 2.2834 BPC, time 304.30ms, mfu 7.73%
iter 810: loss 2.2286 BPC, time 316.45ms, mfu 7.74%
iter 820: loss 2.3003 BPC, time 312.06ms, mfu 7.75%
iter 830: loss 2.1895 BPC, time 293.71ms, mfu 7.81%
iter 840: loss 2.2515 BPC, time 325.06ms, mfu 7.79%
iter 850: loss 2.1639 BPC, time 312.33ms, mfu 7.79%
iter 860: loss 2.3268 BPC, time 325.26ms, mfu 7.77%
iter 870: loss 2.2022 BPC, time 292.49ms, mfu 7.83%
iter 880: loss 2.1661 BPC, time 310.37ms, mfu 7.84%
iter 890: loss 2.2484 BPC, time 326.25ms, mfu 7.81%
iter 900: loss 2.1085 BPC, time 295.01ms, mfu 7.86%
iter 910: loss 2.2174 BPC, time 326.03ms, mfu 7.83%
iter 920: loss 2.2187 BPC, time 306.53ms, mfu 7.85%
iter 930: loss 2.1733 BPC, time 325.70ms, mfu 7.82%
iter 940: loss 2.0746 BPC, time 322.14ms, mfu 7.80%
iter 950: loss 2.1777 BPC, time 318.39ms, mfu 7.79%
iter 960: loss 2.1669 BPC, time 312.10ms, mfu 7.80%
iter 970: loss 2.0826 BPC, time 306.42ms, mfu 7.82%
iter 980: loss 2.0753 BPC, time 323.78ms, mfu 7.80%
iter 990: loss 2.1400 BPC, time 327.65ms, mfu 7.77%
step 1000: train loss 2.0240 BPC, val loss 2.0418 BPC
saving checkpoint to out-enwik-char
iter 1000: loss 2.1242 BPC, time 38907.87ms, mfu 7.00%
iter 1010: loss 2.1553 BPC, time 291.69ms, mfu 7.14%
iter 1020: loss 2.0802 BPC, time 304.92ms, mfu 7.23%
iter 1030: loss 2.1225 BPC, time 306.17ms, mfu 7.31%
iter 1040: loss 2.1028 BPC, time 323.72ms, mfu 7.34%
iter 1050: loss 2.1256 BPC, time 311.13ms, mfu 7.39%
iter 1060: loss 2.0669 BPC, time 322.39ms, mfu 7.42%
iter 1070: loss 2.0806 BPC, time 311.18ms, mfu 7.46%
iter 1080: loss 2.0625 BPC, time 313.39ms, mfu 7.50%
iter 1090: loss 2.0713 BPC, time 324.02ms, mfu 7.51%
iter 1100: loss 2.0970 BPC, time 290.16ms, mfu 7.61%
iter 1110: loss 2.0542 BPC, time 322.20ms, mfu 7.61%
iter 1120: loss 2.1691 BPC, time 328.58ms, mfu 7.59%
iter 1130: loss 2.0172 BPC, time 321.40ms, mfu 7.60%
iter 1140: loss 2.0008 BPC, time 290.61ms, mfu 7.68%
iter 1150: loss 2.1160 BPC, time 292.24ms, mfu 7.76%
iter 1160: loss 2.0970 BPC, time 320.73ms, mfu 7.75%
iter 1170: loss 2.0339 BPC, time 322.53ms, mfu 7.73%
iter 1180: loss 2.0249 BPC, time 310.34ms, mfu 7.75%
iter 1190: loss 1.9827 BPC, time 311.25ms, mfu 7.77%
iter 1200: loss 1.9334 BPC, time 325.26ms, mfu 7.74%
iter 1210: loss 1.9584 BPC, time 309.47ms, mfu 7.76%
iter 1220: loss 2.0068 BPC, time 307.48ms, mfu 7.79%
iter 1230: loss 2.0518 BPC, time 326.29ms, mfu 7.76%
iter 1240: loss 1.9781 BPC, time 309.73ms, mfu 7.78%
step 1250: train loss 1.9140 BPC, val loss 1.9287 BPC
saving checkpoint to out-enwik-char
iter 1250: loss 2.0261 BPC, time 37901.45ms, mfu 7.01%
iter 1260: loss 1.9936 BPC, time 306.02ms, mfu 7.11%
iter 1270: loss 1.9869 BPC, time 298.56ms, mfu 7.22%
iter 1280: loss 1.9614 BPC, time 321.49ms, mfu 7.26%
iter 1290: loss 2.0374 BPC, time 290.07ms, mfu 7.38%
iter 1300: loss 1.9849 BPC, time 310.10ms, mfu 7.44%
iter 1310: loss 1.9637 BPC, time 320.58ms, mfu 7.46%
iter 1320: loss 1.9273 BPC, time 305.97ms, mfu 7.52%
iter 1330: loss 2.0157 BPC, time 321.76ms, mfu 7.53%
iter 1340: loss 2.0494 BPC, time 309.16ms, mfu 7.57%
iter 1350: loss 1.9716 BPC, time 322.75ms, mfu 7.57%
iter 1360: loss 2.0046 BPC, time 311.88ms, mfu 7.60%
iter 1370: loss 1.9304 BPC, time 323.61ms, mfu 7.60%
iter 1380: loss 1.9985 BPC, time 311.16ms, mfu 7.63%
iter 1390: loss 1.9533 BPC, time 302.78ms, mfu 7.68%
iter 1400: loss 1.8615 BPC, time 311.74ms, mfu 7.70%
iter 1410: loss 1.9691 BPC, time 322.79ms, mfu 7.69%
iter 1420: loss 2.0525 BPC, time 300.01ms, mfu 7.74%
iter 1430: loss 1.9041 BPC, time 308.94ms, mfu 7.76%
iter 1440: loss 1.9047 BPC, time 325.93ms, mfu 7.74%
iter 1450: loss 1.9730 BPC, time 315.40ms, mfu 7.74%
iter 1460: loss 1.8777 BPC, time 321.11ms, mfu 7.74%
iter 1470: loss 1.9244 BPC, time 311.37ms, mfu 7.75%
iter 1480: loss 1.9024 BPC, time 324.99ms, mfu 7.73%
iter 1490: loss 1.9606 BPC, time 304.72ms, mfu 7.76%
step 1500: train loss 1.8440 BPC, val loss 1.8746 BPC
saving checkpoint to out-enwik-char
iter 1500: loss 1.9102 BPC, time 40180.36ms, mfu 6.99%
iter 1510: loss 1.8184 BPC, time 309.06ms, mfu 7.09%
iter 1520: loss 1.9927 BPC, time 301.30ms, mfu 7.20%
iter 1530: loss 1.9234 BPC, time 298.25ms, mfu 7.30%
iter 1540: loss 1.9290 BPC, time 307.88ms, mfu 7.37%
iter 1550: loss 1.8628 BPC, time 312.82ms, mfu 7.42%
iter 1560: loss 1.9792 BPC, time 310.94ms, mfu 7.46%
iter 1570: loss 1.9223 BPC, time 301.13ms, mfu 7.53%
iter 1580: loss 1.8948 BPC, time 325.09ms, mfu 7.54%
iter 1590: loss 1.9002 BPC, time 319.37ms, mfu 7.55%
iter 1600: loss 1.9093 BPC, time 324.02ms, mfu 7.56%
iter 1610: loss 1.9026 BPC, time 319.64ms, mfu 7.57%
iter 1620: loss 1.8487 BPC, time 312.50ms, mfu 7.60%
iter 1630: loss 1.9594 BPC, time 319.71ms, mfu 7.61%
iter 1640: loss 1.9006 BPC, time 316.18ms, mfu 7.62%
iter 1650: loss 1.8972 BPC, time 319.41ms, mfu 7.63%
iter 1660: loss 1.8549 BPC, time 322.86ms, mfu 7.63%
iter 1670: loss 1.9305 BPC, time 316.06ms, mfu 7.64%
iter 1680: loss 1.8507 BPC, time 295.03ms, mfu 7.71%
iter 1690: loss 1.7628 BPC, time 318.85ms, mfu 7.71%
iter 1700: loss 1.8514 BPC, time 321.03ms, mfu 7.70%
iter 1710: loss 1.8016 BPC, time 311.10ms, mfu 7.72%
iter 1720: loss 1.8035 BPC, time 325.26ms, mfu 7.71%
iter 1730: loss 1.9431 BPC, time 309.50ms, mfu 7.73%
iter 1740: loss 1.9158 BPC, time 331.04ms, mfu 7.70%
step 1750: train loss 1.8024 BPC, val loss 1.8143 BPC
saving checkpoint to out-enwik-char
iter 1750: loss 1.8760 BPC, time 36747.56ms, mfu 6.94%
iter 1760: loss 1.8559 BPC, time 306.05ms, mfu 7.04%
iter 1770: loss 1.8547 BPC, time 318.72ms, mfu 7.11%
iter 1780: loss 1.9236 BPC, time 322.01ms, mfu 7.16%
iter 1790: loss 1.8790 BPC, time 317.85ms, mfu 7.22%
iter 1800: loss 1.8651 BPC, time 323.79ms, mfu 7.26%
iter 1810: loss 1.8652 BPC, time 316.13ms, mfu 7.31%
iter 1820: loss 1.8605 BPC, time 323.78ms, mfu 7.34%
iter 1830: loss 1.8550 BPC, time 315.51ms, mfu 7.38%
iter 1840: loss 1.8448 BPC, time 323.94ms, mfu 7.40%
iter 1850: loss 1.8458 BPC, time 303.29ms, mfu 7.47%
iter 1860: loss 1.8239 BPC, time 322.37ms, mfu 7.49%
iter 1870: loss 1.8359 BPC, time 305.13ms, mfu 7.54%
iter 1880: loss 1.8665 BPC, time 320.73ms, mfu 7.55%
iter 1890: loss 1.8525 BPC, time 315.19ms, mfu 7.58%
iter 1900: loss 1.8608 BPC, time 322.50ms, mfu 7.58%
iter 1910: loss 1.8221 BPC, time 319.43ms, mfu 7.59%
iter 1920: loss 1.8903 BPC, time 320.61ms, mfu 7.60%
iter 1930: loss 1.7929 BPC, time 310.87ms, mfu 7.63%
iter 1940: loss 1.8762 BPC, time 321.36ms, mfu 7.63%
iter 1950: loss 1.8529 BPC, time 306.59ms, mfu 7.67%
iter 1960: loss 1.7567 BPC, time 322.19ms, mfu 7.67%
iter 1970: loss 1.9168 BPC, time 315.51ms, mfu 7.68%
iter 1980: loss 1.8401 BPC, time 320.78ms, mfu 7.68%
iter 1990: loss 1.8074 BPC, time 308.78ms, mfu 7.70%
step 2000: train loss 1.7480 BPC, val loss 1.7788 BPC
saving checkpoint to out-enwik-char
iter 2000: loss 1.7732 BPC, time 37712.35ms, mfu 6.94%
iter 2010: loss 1.7802 BPC, time 315.32ms, mfu 7.02%
iter 2020: loss 1.7083 BPC, time 315.75ms, mfu 7.10%
iter 2030: loss 1.8681 BPC, time 319.37ms, mfu 7.16%
iter 2040: loss 1.8592 BPC, time 293.01ms, mfu 7.28%
iter 2050: loss 1.8689 BPC, time 310.78ms, mfu 7.34%
iter 2060: loss 1.8200 BPC, time 324.12ms, mfu 7.37%
iter 2070: loss 1.8047 BPC, time 309.56ms, mfu 7.42%
iter 2080: loss 1.8641 BPC, time 324.09ms, mfu 7.44%
