
step 0: train loss 12.5739 BPC, val loss 12.5744 BPC
iter 0: loss 12.6121 BPC, time 77544.86ms, mfu -100.00%
iter 10: loss 9.8637 BPC, time 55.66ms, mfu 8.00%
iter 20: loss 8.5276 BPC, time 55.45ms, mfu 8.00%
iter 30: loss 6.2950 BPC, time 48.74ms, mfu 8.12%
iter 40: loss 4.7948 BPC, time 55.86ms, mfu 8.10%
iter 50: loss 4.2065 BPC, time 55.10ms, mfu 8.10%
iter 60: loss 4.0117 BPC, time 56.13ms, mfu 8.08%
iter 70: loss 3.8865 BPC, time 55.89ms, mfu 8.07%
iter 80: loss 3.9032 BPC, time 55.51ms, mfu 8.07%
iter 90: loss 3.8347 BPC, time 56.06ms, mfu 8.05%
iter 100: loss 3.8259 BPC, time 55.50ms, mfu 8.05%
iter 110: loss 3.7583 BPC, time 56.18ms, mfu 8.04%
iter 120: loss 3.8353 BPC, time 55.86ms, mfu 8.03%
iter 130: loss 3.7654 BPC, time 55.39ms, mfu 8.03%
iter 140: loss 3.6682 BPC, time 55.94ms, mfu 8.02%
iter 150: loss 3.6767 BPC, time 55.68ms, mfu 8.02%
iter 160: loss 3.6615 BPC, time 55.50ms, mfu 8.02%
iter 170: loss 3.6385 BPC, time 56.13ms, mfu 8.01%
iter 180: loss 3.7628 BPC, time 55.75ms, mfu 8.01%
iter 190: loss 3.6092 BPC, time 55.80ms, mfu 8.01%
iter 200: loss 3.5523 BPC, time 55.97ms, mfu 8.00%
iter 210: loss 3.4678 BPC, time 55.67ms, mfu 8.00%
iter 220: loss 3.4739 BPC, time 59.78ms, mfu 7.95%
iter 230: loss 3.5223 BPC, time 56.08ms, mfu 7.94%
iter 240: loss 3.4917 BPC, time 55.66ms, mfu 7.95%
step 250: train loss 3.3231 BPC, val loss 3.3282 BPC
saving checkpoint to out-enwik-char
iter 250: loss 3.4484 BPC, time 8077.11ms, mfu 7.16%
iter 260: loss 3.4105 BPC, time 56.69ms, mfu 7.23%
iter 270: loss 3.4523 BPC, time 56.78ms, mfu 7.29%
iter 280: loss 3.3727 BPC, time 56.61ms, mfu 7.35%
iter 290: loss 3.3002 BPC, time 56.33ms, mfu 7.40%
iter 300: loss 3.2151 BPC, time 56.12ms, mfu 7.46%
iter 310: loss 3.2852 BPC, time 56.14ms, mfu 7.50%
iter 320: loss 3.2285 BPC, time 56.04ms, mfu 7.55%
iter 330: loss 3.2662 BPC, time 56.26ms, mfu 7.58%
iter 340: loss 3.1610 BPC, time 56.21ms, mfu 7.62%
iter 350: loss 3.1085 BPC, time 56.48ms, mfu 7.64%
iter 360: loss 3.1233 BPC, time 56.58ms, mfu 7.67%
iter 370: loss 3.0656 BPC, time 56.75ms, mfu 7.68%
iter 380: loss 2.9981 BPC, time 56.97ms, mfu 7.70%
iter 390: loss 3.0142 BPC, time 56.76ms, mfu 7.71%
iter 400: loss 2.9743 BPC, time 56.79ms, mfu 7.73%
iter 410: loss 2.9394 BPC, time 56.59ms, mfu 7.74%
iter 420: loss 2.9844 BPC, time 56.72ms, mfu 7.75%
iter 430: loss 3.0145 BPC, time 56.34ms, mfu 7.77%
iter 440: loss 2.9472 BPC, time 56.32ms, mfu 7.78%
iter 450: loss 2.9615 BPC, time 56.54ms, mfu 7.79%
iter 460: loss 2.8624 BPC, time 56.62ms, mfu 7.80%
iter 470: loss 2.7202 BPC, time 56.92ms, mfu 7.80%
iter 480: loss 2.8312 BPC, time 57.10ms, mfu 7.80%
iter 490: loss 2.8603 BPC, time 57.64ms, mfu 7.79%
step 500: train loss 2.6788 BPC, val loss 2.6898 BPC
saving checkpoint to out-enwik-char
iter 500: loss 2.7313 BPC, time 8053.98ms, mfu 7.02%
iter 510: loss 2.7964 BPC, time 57.24ms, mfu 7.09%
iter 520: loss 2.6853 BPC, time 57.47ms, mfu 7.16%
iter 530: loss 2.7803 BPC, time 57.21ms, mfu 7.22%
iter 540: loss 2.7593 BPC, time 57.74ms, mfu 7.27%
iter 550: loss 2.7081 BPC, time 57.93ms, mfu 7.31%
iter 560: loss 2.7407 BPC, time 57.19ms, mfu 7.36%
iter 570: loss 2.6927 BPC, time 57.86ms, mfu 7.39%
iter 580: loss 2.7144 BPC, time 57.28ms, mfu 7.43%
iter 590: loss 2.7793 BPC, time 57.75ms, mfu 7.46%
iter 600: loss 2.8321 BPC, time 57.96ms, mfu 7.48%
iter 610: loss 2.7024 BPC, time 57.47ms, mfu 7.51%
iter 620: loss 2.6490 BPC, time 59.27ms, mfu 7.51%
iter 630: loss 2.5931 BPC, time 58.58ms, mfu 7.52%
